DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,NOTE_DATE_2: Note Date 2,NOTE_DATE_1: Note Date 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1821-01-01,134082,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1839-10-01,175223,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1846-12-03,186140,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1847-12-31,186062,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1849-12-03,189783,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1851-12-31,194719,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1855-12-03,189480,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1861-12-03,197731,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1864-12-03,202937,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
LU1:DF_B1100(1.0),C01: Total population,A: Annual,1865-12-31,203664,"C01: The figures by nationality and gender relate to the population of habitual residence, except for the years 1871-1930. Break in series: as from 1821 Source: STATEC. As from 2016 Source: STATEC and CTIE",,,SL01: Data from population census,,0: Zero
